sym,country,state,fiscal_end,sic,sic_desc,exchange
BSY,United States,DE,1231.0,7372.0,Services-Prepackaged Software,Nasdaq
BTAI,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
BTBD,United States,WY,1231.0,5812.0,Retail-Eating  Places,"Nasdaq,Nasdaq"
BTBT,Foreign,E9,1231.0,6199.0,Finance Services,Nasdaq
BTC,United States,,1231.0,6221.0,Commodity Contracts Brokers & Dealers,NYSE
BTCO,United States,DE,1231.0,6221.0,Commodity Contracts Brokers & Dealers,CBOE
BTCS,United States,NV,1231.0,6199.0,Finance Services,Nasdaq
BTCT,Foreign,E9,1231.0,6199.0,Finance Services,Nasdaq
BTCW,United States,,1231.0,6221.0,Commodity Contracts Brokers & Dealers,CBOE
BTCY,United States,NV,331.0,3841.0,Surgical & Medical Instruments & Apparat,OTC
BTDR,Foreign,E9,1231.0,6199.0,Finance Services,Nasdaq
BTE,Foreign,,,1381.0,Drilling Oil & Gas Wells,NYSE
BTG,Foreign,A1,1231.0,1040.0,Gold and Silver Ores,NYSE
BTI,Foreign,,,2111.0,Cigarettes,"NYSE,OTC"
BTMCQ,United States,,1231.0,6199.0,Finance Services,
BTMD,United States,,1231.0,2833.0,Medicinal Chemicals & Botanical Products,Nasdaq
BTOC,United States,NV,630.0,4220.0,Public Warehousing & Storage,Nasdaq
BTOG,Foreign,E9,630.0,6199.0,Finance Services,Nasdaq
BTSG,United States,DE,1231.0,8082.0,Services-Home Health Care Services,"Nasdaq,Nasdaq"
BTTC,Foreign,,,7371.0,Services-Computer Programming Services,Nasdaq
BTU,United States,DE,1231.0,1221.0,Bituminous Coal & Lignite Surface Mining,NYSE
BUD,Foreign,C9,1231.0,2082.0,Malt Beverages,"NYSE,OTC"
BUDA,United States,DE,1231.0,2080.0,Beverages,NYSE
BUDZ,United States,NV,1231.0,8731.0,Services-Commercial Physical & Biologica,OTC
BUKS,United States,DE,430.0,7990.0,Services-Miscellaneous Amusement & Recre,OTC
BULL,Foreign,E9,1231.0,6211.0,"Security Brokers, Dealers & Flotation Co","Nasdaq,Nasdaq"
BUR,Foreign,Y7,1231.0,6199.0,Finance Services,NYSE
BURL,United States,DE,201.0,5311.0,Retail-Department Stores,NYSE
BURU,United States,DE,1231.0,3690.0,"Miscellaneous Electrical Machinery, Equi","OTC,OTC"
BUSE,United States,NV,1231.0,6022.0,State Commercial Banks,"Nasdaq,Nasdaq"
BV,United States,DE,930.0,700.0,Agricultural Services,NYSE
BVC,Foreign,E9,630.0,6282.0,Investment Advice,Nasdaq
BVFL,United States,MD,1231.0,6035.0,"Savings Institution, Federally Chartered",Nasdaq
BVN,Foreign,,1231.0,1000.0,Metal Mining,NYSE
BVS,United States,DE,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
BW,United States,DE,1231.0,3433.0,"Heating Equipment, Except Electric & War","NYSE,NYSE,NYSE"
BWA,United States,DE,1231.0,3714.0,Motor Vehicle Parts & Accessories,NYSE
BWAY,Foreign,L3,,3841.0,Surgical & Medical Instruments & Apparat,"Nasdaq,OTC"
BWB,United States,MN,1231.0,6022.0,State Commercial Banks,"Nasdaq,Nasdaq"
BWEN,United States,DE,1231.0,3360.0,Nonferrous Foundries (Castings),Nasdaq
BWFG,United States,CT,1231.0,6022.0,State Commercial Banks,Nasdaq
BWIN,United States,DE,1231.0,6411.0,"Insurance Agents, Brokers & Service",Nasdaq
BWLP,Foreign,U0,1231.0,4700.0,Transportation Services,NYSE
BWMG,United States,FL,1231.0,3949.0,"Sporting & Athletic Goods, NEC",OTC
BWMN,United States,,,8742.0,Services-Management Consulting Services,Nasdaq
BWMX,Foreign,O5,1231.0,5961.0,Retail-Catalog & Mail-Order Houses,NYSE
BWOW,United States,DE,1231.0,6221.0,Commodity Contracts Brokers & Dealers,NYSE
BWXT,United States,DE,1231.0,3510.0,Engines & Turbines,NYSE
BX,United States,DE,1231.0,6282.0,Investment Advice,NYSE
BXC,United States,DE,102.0,5031.0,"Wholesale-Lumber, Plywood, Millwork & Wo",NYSE
BXDC,United States,MD,1231.0,6500.0,Real Estate,NYSE
BXMT,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
BXP,United States,DE,1231.0,6798.0,Real Estate Investment Trusts,NYSE
BXSL,United States,DE,1231.0,,,NYSE
BY,United States,DE,,6022.0,State Commercial Banks,NYSE
BYAH,Foreign,F4,1031.0,2840.0,"Soap, Detergents, Cleang Preparations, P",Nasdaq
BYD,United States,NV,1231.0,7011.0,Hotels & Motels,NYSE
BYFC,United States,DE,1231.0,6035.0,"Savings Institution, Federally Chartered",Nasdaq
BYND,United States,DE,1231.0,2000.0,Food and Kindred Products,Nasdaq
BYRN,United States,DE,1130.0,3690.0,"Miscellaneous Electrical Machinery, Equi",Nasdaq
BYSI,Foreign,,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
BZ,Foreign,E9,1231.0,7370.0,"Services-Computer Programming, Data Proc",Nasdaq
BZAI,United States,DE,1231.0,3674.0,Semiconductors & Related Devices,"Nasdaq,Nasdaq"
CNMD,United States,DE,1231.0,3845.0,Electromedical & Electrotherapeutic Appa,NYSE
CNNE,United States,DE,1231.0,5810.0,Retail-Eating & Drinking Places,NYSE
CNO,United States,DE,1231.0,6321.0,Accident & Health Insurance,"NYSE,NYSE"
CNOB,United States,NJ,1231.0,6022.0,State Commercial Banks,"Nasdaq,Nasdaq"
CNP,United States,TX,1231.0,4911.0,Electric Services,NYSE
CNQ,Foreign,A0,1231.0,1311.0,Crude Petroleum & Natural Gas,NYSE
CNR,United States,DC,1231.0,1220.0,Silver Ores,NYSE
CNS,United States,DE,1231.0,6282.0,Investment Advice,NYSE
CNSP,United States,NV,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CNTA,United States,X0,1231.0,2834.0,Pharmaceutical Preparations,
CNTB,Foreign,E9,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CNTM,United States,DE,1231.0,1700.0,Construction - Special Trade Contractors,OTC
CNTN,United States,DE,1231.0,6199.0,Finance Services,Nasdaq
CNTX,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CNTY,United States,DE,1231.0,7011.0,Hotels & Motels,Nasdaq
CNVS,United States,DE,331.0,7841.0,Services-Video Tape Rental,Nasdaq
CNX,United States,DE,1231.0,1311.0,Crude Petroleum & Natural Gas,NYSE
CNXC,United States,DE,1130.0,7389.0,"Services-Business Services, NEC",Nasdaq
CNXN,United States,DE,1231.0,5045.0,Wholesale-Computers & Peripheral Equipme,Nasdaq
CNXU,United States,NV,1031.0,3842.0,"Orthopedic, Prosthetic & Surgical Applia",Nasdaq
COAG,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
COBA,United States,NV,1231.0,1000.0,Metal Mining,OTC
COCH,United States,,1231.0,3842.0,"Orthopedic, Prosthetic & Surgical Applia","Nasdaq,Nasdaq"
COCO,United States,DE,1231.0,2080.0,Beverages,Nasdaq
COCP,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CODA,United States,DE,1031.0,3812.0,"Search, Detection, Navigation, Guidance,",Nasdaq
CODI,United States,DE,1231.0,2510.0,Household Furniture,"NYSE,NYSE,NYSE,NYSE"
CODQL,United States,DE,1231.0,1220.0,Silver Ores,OTC
CODX,United States,UT,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
COE,Foreign,E9,1231.0,8200.0,Services-Educational Services,NYSE
COF,United States,DE,1231.0,6021.0,National Commercial Banks,"NYSE,NYSE,NYSE,NYSE,NYSE"
COFS,United States,MI,1231.0,6022.0,State Commercial Banks,Nasdaq
COGT,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
COHN,United States,MD,1231.0,6211.0,"Security Brokers, Dealers & Flotation Co",NYSE
COHR,United States,PA,630.0,3827.0,Optical Instruments & Lenses,NYSE
COHU,United States,DE,1226.0,3825.0,Instruments For Meas & Testing of  Elect,Nasdaq
COIN,United States,TX,1231.0,6199.0,Finance Services,Nasdaq
COKE,United States,DE,1231.0,2086.0,Bottled & Canned Soft Drinks & Carbonate,Nasdaq
COLA,United States,,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq"
COLB,United States,WA,1231.0,6022.0,State Commercial Banks,Nasdaq
COLD,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
COLL,United States,VA,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
COLM,United States,OR,1231.0,2300.0,Apparel & Other Finishd Prods of  Fabric,Nasdaq
COMP,United States,DE,1231.0,6531.0,Real Estate Agents & Managers (For Other,NYSE
CON,United States,DE,1231.0,8093.0,Services-Specialty Outpatient Facilities,NYSE
CONC,United States,CO,1231.0,3663.0,Radio & Tv Broadcasting & Communications,OTC
COO,United States,DE,1031.0,3851.0,Ophthalmic Goods,Nasdaq
COOK,United States,DE,1231.0,3630.0,Household Appliances,NYSE
COOT,Foreign,E9,630.0,2070.0,Fats & Oils,"Nasdaq,Nasdaq"
COP,United States,DE,1231.0,2911.0,Petroleum Refining,NYSE
COPR,United States,NV,131.0,1000.0,Metal Mining,"NYSE,NYSE"
COR,United States,DE,930.0,5122.0,"Wholesale-Drugs, Proprietaries & Druggis",NYSE
CORT,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CORZ,United States,DE,1231.0,6199.0,Finance Services,"Nasdaq,OTC,Nasdaq,Nasdaq"
COSG,United States,NV,1231.0,6199.0,Finance Services,
COSM,United States,NV,1231.0,5122.0,"Wholesale-Drugs, Proprietaries & Druggis",Nasdaq
COSO,United States,,1231.0,6022.0,State Commercial Banks,NYSE
COST,United States,WA,830.0,5331.0,Retail-Variety Stores,Nasdaq
COTY,United States,,630.0,2844.0,"Perfumes, Cosmetics & Other Toilet Prepa",NYSE
COUR,United States,DE,1231.0,7372.0,Services-Prepackaged Software,NYSE
COYA,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CP,Foreign,Z4,1231.0,4011.0,"Railroads, Line-Haul Operating",NYSE
CPA,Foreign,R1,1231.0,4512.0,"Air Transportation, Scheduled",NYSE
CPAC,Foreign,,1231.0,3241.0,"Cement, Hydraulic",NYSE
CPAY,United States,DE,1231.0,7389.0,"Services-Business Services, NEC",NYSE
CPB,United States,NJ,803.0,2000.0,Food and Kindred Products,Nasdaq
CPBI,United States,MD,331.0,6035.0,"Savings Institution, Federally Chartered",Nasdaq
CPF,United States,HI,1231.0,6022.0,State Commercial Banks,NYSE
CPHC,United States,MN,1231.0,7948.0,"Services-Racing, Including Track Operati",Nasdaq
CPHI,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,NYSE
CPIX,United States,TN,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CPK,United States,DE,1231.0,4923.0,Natural Gas Transmisison & Distribution,NYSE
CPMD,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,OTC
CPMV,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",OTC
CPNG,United States,DE,1231.0,5961.0,Retail-Catalog & Mail-Order Houses,NYSE
CPPTL,United States,NY,1231.0,6500.0,Real Estate,OTC
CPRI,Foreign,D8,329.0,3100.0,Leather & Leather Products,NYSE
CPRT,United States,DE,731.0,5500.0,Retail-Auto Dealers & Gasoline Stations,Nasdaq
CPRX,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CPS,United States,DE,1231.0,3714.0,Motor Vehicle Parts & Accessories,NYSE
CPSH,United States,MA,1226.0,3260.0,Pottery & Related Products,Nasdaq
CPSS,United States,CA,1231.0,6199.0,Finance Services,Nasdaq
CPT,United States,TX,1231.0,6798.0,Real Estate Investment Trusts,NYSE
CPTP,United States,RI,1231.0,6519.0,"Lessors of  Real Property, NEC",
CPWR,United States,NV,1231.0,4931.0,Electric & Other Services Combined,OTC
CQP,United States,DE,1231.0,4924.0,Natural Gas Distribution,NYSE
CR,United States,DE,1231.0,3490.0,Miscellaneous Fabricated Metal Products,NYSE
CRAC,United States,E9,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq,Nas"
CRAI,United States,MA,102.0,8111.0,Services-Legal Services,Nasdaq
CRBG,United States,DE,1231.0,6311.0,Life Insurance,"NYSE,NYSE"
CRBP,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CRBU,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
CRC,United States,DE,1231.0,1311.0,Crude Petroleum & Natural Gas,NYSE
CRCE,United States,NV,1231.0,1311.0,Crude Petroleum & Natural Gas,OTC
CRCL,United States,DE,1231.0,6199.0,Finance Services,NYSE
CRCT,United States,DE,1231.0,3559.0,"Special Industry Machinery, NEC",Nasdaq
CRCUF,Foreign,A1,1231.0,1040.0,Gold and Silver Ores,OTC
CRCW,United States,NV,1231.0,7374.0,Services-Computer Processing & Data Prep,OTC
CRDF,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
CRDL,Foreign,A6,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
CRDO,United States,E9,429.0,3674.0,Semiconductors & Related Devices,Nasdaq
CRDV,United States,CO,1231.0,6552.0,Land Subdividers & Developers (No Cemete,
CREG,United States,NV,1231.0,7389.0,"Services-Business Services, NEC",OTC
CRESY,Foreign,C1,630.0,6500.0,Real Estate,Nasdaq
CREX,United States,MN,1231.0,7373.0,Services-Computer Integrated Systems Des,Nasdaq
CRGO,Foreign,E9,1231.0,4731.0,Arrangement of  Transportation of  Freig,"Nasdaq,Nasdaq"
CRGY,United States,DE,1231.0,1311.0,Crude Petroleum & Natural Gas,NYSE
CRH,Foreign,L2,1231.0,3241.0,"Cement, Hydraulic",NYSE
CRI,United States,DE,102.0,2300.0,Apparel & Other Finishd Prods of  Fabric,NYSE
CRIS,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
CRK,United States,NV,1231.0,1311.0,Crude Petroleum & Natural Gas,NYSE
CRL,United States,,1227.0,8731.0,Services-Commercial Physical & Biologica,NYSE
CRM,United States,DE,131.0,7372.0,Services-Prepackaged Software,NYSE
CRMD,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CRML,Foreign,D8,,1000.0,Metal Mining,"Nasdaq,Nasdaq"
CRMT,United States,TX,430.0,5500.0,Retail-Auto Dealers & Gasoline Stations,Nasdaq
CRMZ,United States,NV,1231.0,7320.0,"Services-Consumer Credit Reporting, Coll",OTC
CRNC,United States,DE,930.0,7372.0,Services-Prepackaged Software,Nasdaq
CRNT,Foreign,L3,1231.0,3663.0,Radio & Tv Broadcasting & Communications,Nasdaq
CRNX,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CRON,Foreign,A1,1231.0,2833.0,Medicinal Chemicals & Botanical Products,Nasdaq
CROX,United States,,1231.0,3021.0,Rubber & Plastics Footwear,Nasdaq
CRS,United States,DE,630.0,3312.0,"Steel Works, Blast Furnaces & Rolling Mi",NYSE
CRSF,United States,DE,731.0,6199.0,Finance Services,OTC
CRSP,United States,V8,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
CRSR,United States,DE,1231.0,3577.0,"Computer Peripheral Equipment, NEC",Nasdaq
CRTD,United States,NV,1231.0,4522.0,"Air Transportation, Nonscheduled",OTC
CRTO,Foreign,N4,1231.0,7311.0,Services-Advertising Agencies,Nasdaq
CRUS,United States,DE,327.0,3674.0,Semiconductors & Related Devices,Nasdaq
CRVL,United States,DE,331.0,6411.0,"Insurance Agents, Brokers & Service",Nasdaq
CRVO,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CRVS,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CRVW,United States,NV,1231.0,3663.0,Radio & Tv Broadcasting & Communications,OTC
CRWD,United States,DE,131.0,7372.0,Services-Prepackaged Software,Nasdaq
CRWE,United States,NV,1231.0,5734.0,Retail-Computer & Computer Software Stor,OTC
CRWS,United States,DE,328.0,2211.0,"Broadwoven Fabric Mills, Cotton",Nasdaq
CRWV,United States,DE,1231.0,7372.0,Services-Prepackaged Software,Nasdaq
CSAI,United States,DE,1231.0,7370.0,"Services-Computer Programming, Data Proc",Nasdaq
CSAN,Foreign,D5,1231.0,5500.0,Retail-Auto Dealers & Gasoline Stations,NYSE
CSBB,United States,OH,1231.0,6022.0,State Commercial Banks,OTC
CSBR,United States,DE,430.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
CSCIF,Foreign,A6,1231.0,2844.0,"Perfumes, Cosmetics & Other Toilet Prepa","OTC,None"
CSCO,United States,DE,725.0,3576.0,Computer Communications Equipment,Nasdaq
CSDX,United States,WY,1231.0,2842.0,"Specialty Cleaning, Polishing and Sanita",OTC
CSGP,United States,DE,1231.0,7389.0,"Services-Business Services, NEC",Nasdaq
CSHR,Foreign,Y9,1231.0,6211.0,"Security Brokers, Dealers & Flotation Co","Nasdaq,Nasdaq"
CSIQ,Foreign,A6,1231.0,3674.0,Semiconductors & Related Devices,Nasdaq
CSL,United States,DE,1231.0,3060.0,"Fabricated Rubber Products, NEC",NYSE
CSPI,United States,MA,930.0,7373.0,Services-Computer Integrated Systems Des,Nasdaq
CSQR,United States,DE,1231.0,7370.0,"Services-Computer Programming, Data Proc",NYSE
CSR,United States,ND,1231.0,6798.0,Real Estate Investment Trusts,NYSE
CSTE,Foreign,,,3281.0,Cut Stone & Stone Products,Nasdaq
CSTL,United States,DE,1231.0,8071.0,Services-Medical Laboratories,Nasdaq
CSTM,Foreign,,1231.0,3341.0,Secondary Smelting & Refining of  Nonfer,NYSE
CSUI,United States,NV,531.0,6500.0,Real Estate,OTC
CSV,United States,DE,1231.0,7200.0,Services-Personal Services,NYSE
CSW,United States,DE,331.0,2891.0,Adhesives & Sealants,NYSE
CSWC,United States,TX,331.0,,,Nasdaq
CSX,United States,VA,1231.0,4011.0,"Railroads, Line-Haul Operating",Nasdaq
CTA-PB,United States,DE,1231.0,2820.0,"Plastic Material, Synth Resin/Rubber, Ce","NYSE,NYSE"
CTAA,United States,E9,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq"
CTAS,United States,WA,531.0,2320.0,"Men's & Boys' Furnishgs, Work Clothg, & ",Nasdaq
CTBI,United States,KY,1231.0,6022.0,State Commercial Banks,Nasdaq
CTEV,United States,DE,1231.0,7389.0,"Services-Business Services, NEC",NYSE
CTGG,United States,CO,1231.0,4813.0,Telephone Communications (No Radioteleph,
CTGL,United States,,1231.0,7372.0,Services-Prepackaged Software,OTC
CTGO,United States,DE,1231.0,1040.0,Gold and Silver Ores,NYSE
CTKB,United States,DE,1231.0,3826.0,Laboratory Analytical Instruments,Nasdaq
CTM,United States,NV,1231.0,8742.0,Services-Management Consulting Services,NYSE
CTMX,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CTNM,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CTNT,United States,DE,1231.0,5010.0,Wholesale-Motor Vehicles & Motor Vehicle,Nasdaq
CTO,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,"NYSE,NYSE"
CTOR,United States,DE,930.0,2834.0,Pharmaceutical Preparations,Nasdaq
CTOS,United States,DE,1231.0,7359.0,"Services-Equipment Rental & Leasing, NEC",NYSE
CTRE,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
CTRI,United States,DE,103.0,4923.0,Natural Gas Transmisison & Distribution,NYSE
CTRM,Foreign,1T,1231.0,4412.0,Deep Sea Foreign Transportation of  Frei,Nasdaq
CTRN,United States,DE,130.0,5600.0,Retail-Apparel & Accessory Stores,Nasdaq
CTS,United States,IN,1231.0,3672.0,Printed Circuit Boards,NYSE
CTSH,United States,,1231.0,7371.0,Services-Computer Programming Services,Nasdaq
CTSO,United States,DE,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
CTVA,United States,DE,1231.0,100.0,Agricultural Production-Crops,NYSE
CTWO,United States,DE,1130.0,6199.0,Finance Services,NYSE
CTXR,United States,NV,930.0,2834.0,Pharmaceutical Preparations,Nasdaq
CUBE,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
CUBI,United States,PA,1231.0,6022.0,State Commercial Banks,"NYSE,NYSE"
CUE,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CUEN,United States,,1231.0,5140.0,Wholesale-Groceries & Related Products,"OTC,OTC"
CULL,United States,MD,1231.0,6036.0,"Savings Institutions, Not Federally Char",OTC
CULP,United States,NC,1231.0,2211.0,"Broadwoven Fabric Mills, Cotton",Nasdaq
CUPR,Foreign,E9,1231.0,3842.0,"Orthopedic, Prosthetic & Surgical Applia",Nasdaq
CURB,United States,MD,1231.0,6500.0,Real Estate,NYSE
CURI,United States,DE,1231.0,7812.0,Services-Motion Picture & Video Tape Pro,Nasdaq
CURLF,Foreign,A1,1231.0,2833.0,Medicinal Chemicals & Botanical Products,OTC
CURR,Foreign,E9,1231.0,7389.0,"Services-Business Services, NEC",Nasdaq
CURV,United States,,131.0,5600.0,Retail-Apparel & Accessory Stores,NYSE
CURX,United States,NV,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CUZ,United States,GA,1231.0,6798.0,Real Estate Investment Trusts,NYSE
CV,United States,DE,1231.0,3845.0,Electromedical & Electrotherapeutic Appa,Nasdaq
CVAT,United States,,630.0,700.0,Agricultural Services,OTC
CVBF,United States,CA,1231.0,6022.0,State Commercial Banks,Nasdaq
CVCO,United States,DE,328.0,2451.0,Mobile Homes,Nasdaq
CVE,Foreign,,1231.0,1311.0,Crude Petroleum & Natural Gas,NYSE
CVEO,United States,A1,1231.0,7000.0,"Hotels, Rooming Houses, Camps & Other Lo",NYSE
CVGI,United States,DE,1231.0,3714.0,Motor Vehicle Parts & Accessories,Nasdaq
CVI,United States,DE,1231.0,2911.0,Petroleum Refining,NYSE
CVKD,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CVLG,United States,NV,1231.0,4213.0,Trucking (No Local),NYSE
CVLT,United States,DE,331.0,7372.0,Services-Prepackaged Software,Nasdaq
CVM,United States,CO,930.0,2836.0,"Biological Products, (No Diagnostic Subs",NYSE
CVNA,United States,DE,1231.0,5500.0,Retail-Auto Dealers & Gasoline Stations,NYSE
CVR,United States,IL,1231.0,3540.0,Metalworkg Machinery & Equipment,NYSE
CVRX,United States,DE,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
CVS,United States,DE,1231.0,5912.0,Retail-Drug Stores and Proprietary Store,NYSE
CVSA,United States,DE,630.0,8200.0,Services-Educational Services,NYSE
CVSI,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,OTC
CVU,United States,NY,1231.0,3728.0,"Aircraft Parts & Auxiliary Equipment, NE",NYSE
CVV,United States,NY,1231.0,3559.0,"Special Industry Machinery, NEC",Nasdaq
CVX,United States,DE,1231.0,2911.0,Petroleum Refining,NYSE
CW,United States,DE,1231.0,3590.0,Misc Industrial & Commercial Machinery &,NYSE
CWAN,United States,DE,1231.0,7372.0,Services-Prepackaged Software,NYSE
CWBC,United States,CA,1231.0,6022.0,State Commercial Banks,Nasdaq
CWBHF,United States,A1,1231.0,100.0,Agricultural Production-Crops,OTC
CWCO,Foreign,E9,1231.0,4941.0,Water Supply,Nasdaq
CWD,United States,DE,1231.0,6500.0,Real Estate,Nasdaq
CWEN,United States,DE,1231.0,4911.0,Electric Services,NYSE
CWGL,United States,DE,1231.0,2080.0,Beverages,OTC
CWH,United States,DE,1231.0,5500.0,Retail-Auto Dealers & Gasoline Stations,NYSE
CWK,United States,D0,1231.0,6500.0,Real Estate,NYSE
CWST,United States,DE,1231.0,4953.0,Refuse Systems,Nasdaq
CWT,United States,DE,1231.0,4941.0,Water Supply,NYSE
CX,Foreign,O5,1231.0,3241.0,"Cement, Hydraulic","NYSE,OTC"
CXAI,United States,DE,1231.0,7372.0,Services-Prepackaged Software,"Nasdaq,Nasdaq"
CXDO,United States,DE,1231.0,4813.0,Telephone Communications (No Radioteleph,Nasdaq
CXII,United States,E9,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq"
CXM,United States,DE,131.0,7372.0,Services-Prepackaged Software,NYSE
CXT,United States,DE,1231.0,3490.0,Miscellaneous Fabricated Metal Products,NYSE
CXW,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
CXXIF,Foreign,A1,331.0,2833.0,Medicinal Chemicals & Botanical Products,"OTC,OTC"
CYAB,United States,DE,1231.0,7372.0,Services-Prepackaged Software,Nasdaq
CYAN,United States,NV,331.0,2833.0,Medicinal Chemicals & Botanical Products,OTC
CYCN,United States,MA,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CYCU,United States,DE,1231.0,7371.0,Services-Computer Programming Services,"Nasdaq,Nasdaq"
CYD,Foreign,,1231.0,3510.0,Engines & Turbines,NYSE
CYDY,United States,DE,531.0,2834.0,Pharmaceutical Preparations,OTC
CYH,United States,DE,1231.0,8062.0,Services-General Medical & Surgical Hosp,NYSE
CYN,United States,DE,1231.0,7371.0,Services-Computer Programming Services,Nasdaq
CYPH,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CYRX,United States,NV,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CYTK,United States,,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
CYTOF,Foreign,D0,1231.0,2834.0,Pharmaceutical Preparations,OTC
CZFS,United States,PA,1231.0,6022.0,State Commercial Banks,Nasdaq
CZNC,United States,PA,1231.0,6022.0,State Commercial Banks,Nasdaq
CZR,United States,DE,1231.0,7011.0,Hotels & Motels,Nasdaq
CZWI,United States,MD,1231.0,6035.0,"Savings Institution, Federally Chartered",Nasdaq
D,United States,VA,1231.0,4911.0,Electric Services,NYSE
DAAQ,United States,E9,1231.0,6022.0,State Commercial Banks,"Nasdaq,Nasdaq,Nasdaq"
DAC,Foreign,1T,1231.0,4412.0,Deep Sea Foreign Transportation of  Frei,NYSE
DAIC,United States,DE,1231.0,7373.0,Services-Computer Integrated Systems Des,"Nasdaq,Nasdaq"
DAIO,United States,WA,1211.0,3825.0,Instruments For Meas & Testing of  Elect,Nasdaq
DAKT,United States,DE,502.0,3990.0,Miscellaneous Manufacturing Industries,Nasdaq
DAL,United States,DE,1231.0,4512.0,"Air Transportation, Scheduled",NYSE
DAN,United States,DE,1231.0,3714.0,Motor Vehicle Parts & Accessories,NYSE
DAO,Foreign,E9,1231.0,8200.0,Services-Educational Services,NYSE
DAR,United States,DE,102.0,2070.0,Fats & Oils,NYSE
DARE,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
DASH,United States,DE,1231.0,7389.0,"Services-Business Services, NEC",Nasdaq
DAVA,Foreign,X0,630.0,7371.0,Services-Computer Programming Services,NYSE
DAVE,United States,,1231.0,6199.0,Finance Services,"Nasdaq,Nasdaq"
DAVI,Foreign,G4,1231.0,3841.0,Surgical & Medical Instruments & Apparat,
DAZSF,Foreign,E9,531.0,3690.0,"Miscellaneous Electrical Machinery, Equi",
DB,Foreign,,1231.0,6022.0,State Commercial Banks,"NYSE,OTC,OTC,NYSE,NYSE,N"
DBA,United States,DE,1231.0,6221.0,Commodity Contracts Brokers & Dealers,NYSE
DBB,United States,DE,1231.0,6221.0,Commodity Contracts Brokers & Dealers,NYSE
DBC,United States,,1231.0,6221.0,Commodity Contracts Brokers & Dealers,NYSE
DBD,United States,DE,1231.0,3578.0,Calculating & Accounting Machines (No El,NYSE
DBE,United States,DE,1231.0,6221.0,Commodity Contracts Brokers & Dealers,NYSE
