📌 주봉 신호 종목 현황 (2026-05-28 기준)
시총 높은 순 | 총 155개 종목

🇰🇷 한국 (3개)
       시총  [주간%]  종목명
168.4조   [+25.1%]  SK스퀘어(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+7.2%]  QuantumScape  ← 이평선수렴, RSI/MACD
$     3B    [+1.8%]  Brady  ← 이평선수렴, RSI/MACD
$     3B    [-1.0%]  Global Business Travel Group  ← 5일선라이딩, 이평선수렴
$     3B   [+14.1%]  GoodRx  ← 이평선수렴, RSI/MACD
$     3B    [-1.1%]  First Hawaiian Bank  ← 이평선수렴, RSI/MACD
$     3B    [-0.7%]  LXP Industrial Trust  ← 이평선수렴, RSI/MACD
$     3B    [-0.8%]  COPT Defense Properties  ← 컵위드핸들, 이평선수렴
$     3B    [+2.2%]  Highwoods Properties  ← 5일선라이딩, 이평선수렴
$     3B    [+2.1%]  Hub Group  ← 이평선수렴, RSI/MACD
$     3B    [-0.3%]  WSFS Financial(52주)  ← 52주신고가, RSI/MACD
$     3B    [+1.1%]  First Interstate BancSystem  ← 이평선수렴, RSI/MACD
$     3B   [+15.7%]  Sunrun  ← 이평선수렴, RSI/MACD
$     3B    [+9.0%]  Denali Therapeutics  ← 이평선수렴, RSI/MACD
$     3B    [+1.8%]  Globalstar(52주)  ← 52주신고가, 5일선라이딩
$     2B   [+16.4%]  Corcept Therapeutics  ← 5일선라이딩, 이평선수렴
$     2B    [+3.3%]  PriceSmart(52주)  ← 52주신고가, RSI/MACD
$     2B    [+9.9%]  Guardant Health(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+7.2%]  Sonos  ← 이평선수렴, RSI/MACD
$     2B    [+0.0%]  Mister Car Wash  ← 5일선라이딩, 이평선수렴
$     2B   [+29.6%]  Xerox  ← 이평선수렴, RSI/MACD
$     2B    [+0.5%]  Independent Bank Corp (Massachusetts)  ← 이평선수렴, RSI/MACD
$     2B   [+41.1%]  PagerDuty  ← 이평선수렴, RSI/MACD
$     2B    [+9.8%]  Standex(52주)  ← 52주신고가, 이평선수렴
$     2B    [+0.3%]  First Financial Bank(52주)  ← 52주신고가, RSI/MACD
$     2B   [+10.7%]  Array Technologies  ← 이평선수렴, RSI/MACD
$     2B    [+0.9%]  Acadia Realty Trust  ← 이평선수렴, RSI/MACD
$     2B   [+14.9%]  Schrödinger  ← 이평선수렴, RSI/MACD
$     2B   [+14.4%]  Rocket Lab(52주)  ← 52주신고가, 이평선수렴
$     2B    [+6.9%]  Triumph Financial  ← 이평선수렴, RSI/MACD
$     2B    [+9.0%]  The Cheesecake Factory  ← 이평선수렴, RSI/MACD
$     2B   [+15.9%]  Mercury Systems(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+8.4%]  PC Connection  ← 이평선수렴, RSI/MACD
$     2B    [-1.5%]  NexPoint Residential  ← 이평선수렴, RSI/MACD
$     2B    [+9.0%]  Gentherm  ← 이평선수렴, RSI/MACD
$     2B    [+0.8%]  NBT Bancorp  ← 이평선수렴, RSI/MACD
$     2B    [-0.7%]  Customers Bancorp  ← 이평선수렴, RSI/MACD
$     2B    [+2.5%]  Veracyte  ← 이평선수렴, RSI/MACD
$     2B    [-0.3%]  World Kinect  ← 5일선라이딩, 이평선수렴
$     2B    [+0.6%]  Banner Bank  ← 이평선수렴, RSI/MACD
$     2B   [+24.0%]  Frontier Airlines  ← 이평선수렴, RSI/MACD
$     1B    [-1.6%]  Liberty Latin America  ← 이평선수렴, RSI/MACD
$     1B    [+9.5%]  Cannae Holdings  ← 이평선수렴, RSI/MACD
$     1B    [-0.1%]  City Holding Company  ← 컵위드핸들, 이평선수렴
$     1B    [+0.1%]  Veris Residential(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+2.2%]  La-Z-Boy  ← 이평선수렴, RSI/MACD
$     1B    [+0.4%]  CSG International(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+6.2%]  Knowles(52주)  ← 52주신고가, 5일선라이딩
$     1B   [+15.8%]  V2X(역사적)  ← 52주신고가, RSI/MACD
$     1B    [+5.5%]  NETSCOUT(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+6.4%]  Cracker Barrel  ← 이평선수렴, RSI/MACD
$     1B    [+1.1%]  First Commonwealth Financial Corp  ← 컵위드핸들, RSI/MACD
$     1B    [+0.6%]  Stock Yards Bancorp  ← 이평선수렴, RSI/MACD
$     1B    [+2.0%]  First Busey  ← 컵위드핸들, RSI/MACD
$     1B    [+0.9%]  Omnicell  ← 이평선수렴, RSI/MACD
$     1B   [+10.6%]  Caleres  ← 이평선수렴, RSI/MACD
$     1B    [-1.4%]  Two Harbors Investment  ← 이평선수렴, RSI/MACD
$     1B   [+26.7%]  Enovix  ← 이평선수렴, RSI/MACD
$     1B    [+6.1%]  G-III Apparel Group  ← 이평선수렴, RSI/MACD
$     1B    [+0.7%]  Central Securities(52주)  ← 52주신고가, 이평선수렴
$     1B    [+0.2%]  S&amp;T Bancorp(52주)  ← 52주신고가, 컵위드핸들
$     1B   [+12.6%]  Allegiant Air  ← 이평선수렴, RSI/MACD
$     1B   [+19.1%]  Ameresco  ← 이평선수렴, RSI/MACD
$     1B    [+0.0%]  TriCo Bancshares  ← 이평선수렴, RSI/MACD
$     1B    [-0.6%]  Employers Holdings  ← 이평선수렴, RSI/MACD
$     1B    [-0.2%]  Liquidia Technologies(52주)  ← 52주신고가, 이평선수렴
$     1B    [+0.0%]  Golden Entertainment  ← 5일선라이딩, 이평선수렴
$     1B    [+0.5%]  Peoples Bancorp  ← 컵위드핸들, RSI/MACD
