📌 주봉 신호 종목 현황 (2026-05-27 기준)
시총 높은 순 | 총 286개 종목

🇰🇷 한국 (14개)
       시총  [주간%]  종목명
1748.0조    [+6.4%]  삼성전자(52주)  ← 52주신고가, 5일선라이딩
$     8B    [+4.2%]  Simpson Manufacturing Company  ← 이평선수렴, RSI/MACD
$     8B   [+10.4%]  BorgWarner(52주)  ← 52주신고가, 5일선라이딩
$     8B    [+0.0%]  Omega Healthcare(52주)  ← 52주신고가, 5일선라이딩
$     8B    [+3.1%]  Robert Half  ← 이평선수렴, RSI/MACD
$     7B    [+2.0%]  Applied Industrial Technologies(52주)  ← 52주신고가, 5일선라이딩
$     7B    [+3.6%]  Evercore  ← 이평선수렴, RSI/MACD
$     7B    [+4.1%]  First Industrial Realty Trust(52주)  ← 52주신고가, RSI/MACD
$     7B    [+1.3%]  Voya Financial(52주)  ← 52주신고가, 5일선라이딩
$     7B    [+1.1%]  Invesco  ← 5일선라이딩, 이평선수렴
$     7B    [-0.6%]  Credit Acceptance  ← 5일선라이딩, 이평선수렴
$     7B    [+5.8%]  SentinelOne  ← 5일선라이딩, 이평선수렴
$     7B    [+7.3%]  Arrow Electronics(52주)  ← 52주신고가, 5일선라이딩
$     6B    [+0.3%]  Chart Industries  ← 이평선수렴, RSI/MACD
$     6B    [+0.3%]  H&amp;R Block  ← 이평선수렴, RSI/MACD
$     6B    [+5.2%]  Commercial Metals Company  ← 이평선수렴, RSI/MACD
$     6B    [+0.0%]  Apellis Pharmaceuticals  ← 5일선라이딩, 이평선수렴
$     6B    [-0.2%]  Selective Insurance  ← 이평선수렴, RSI/MACD
$     6B    [+0.5%]  DT Midstream(52주)  ← 52주신고가, 5일선라이딩
$     6B    [+4.4%]  Zions Bancorporation  ← 이평선수렴, RSI/MACD
$     6B    [+3.9%]  Banco Popular(52주)  ← 52주신고가, RSI/MACD
$     6B    [+3.2%]  FirstCash(52주)  ← 52주신고가, 5일선라이딩
$     6B   [+10.5%]  Insight Enterprises  ← 이평선수렴, RSI/MACD
$     6B    [+7.3%]  Revolution Medicines(52주)  ← 52주신고가, 5일선라이딩
$     6B    [-0.7%]  First American  ← 이평선수렴, RSI/MACD
$     6B    [+1.7%]  Mueller Industries(52주)  ← 52주신고가, 이평선수렴
$     6B    [+2.5%]  Prosperity Bancshares  ← 이평선수렴, RSI/MACD
$     6B    [+3.3%]  Vornado Realty Trust  ← 5일선라이딩, 이평선수렴
$     6B    [+8.8%]  NewMarket Corp  ← 이평선수렴, RSI/MACD
$     5B    [+0.4%]  Air Lease Corporation(52주)  ← 52주신고가, 이평선수렴
$     5B    [+3.9%]  Affiliated Managers Group  ← 이평선수렴, RSI/MACD
$     5B   [+17.0%]  Macy's  ← 이평선수렴, RSI/MACD
$     5B    [+3.9%]  MSC Industrial Direct(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+7.4%]  Polaris  ← 이평선수렴, RSI/MACD
$     5B    [+1.9%]  Halozyme Therapeutics  ← 이평선수렴, RSI/MACD
$     5B    [+7.9%]  Varonis  ← 5일선라이딩, 이평선수렴
$     5B    [+2.3%]  Bank OZK  ← 컵위드핸들, 이평선수렴
$     5B    [+3.3%]  Franklin Electric  ← 컵위드핸들, 이평선수렴
$     5B    [-0.8%]  Hanover Insurance Group(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+6.8%]  Hilton Grand Vacations  ← 이평선수렴, RSI/MACD
$     5B    [+5.5%]  Kite Realty(52주)  ← 52주신고가, 컵위드핸들
$     4B   [+10.7%]  Clearway Energy  ← 컵위드핸들, RSI/MACD
$     4B    [+1.4%]  Herc Holdings  ← 이평선수렴, RSI/MACD
$     4B   [+11.2%]  Columbia Sportswear  ← 이평선수렴, RSI/MACD
$     4B    [+5.7%]  Valmont Industries(52주)  ← 52주신고가, 이평선수렴
$     4B    [+6.9%]  Avnet(52주)  ← 52주신고가, 5일선라이딩
$     4B    [+5.1%]  Nuvalent  ← 컵위드핸들, 이평선수렴
$     4B    [+7.5%]  Jfrog(52주)  ← 52주신고가, 이평선수렴
$     4B   [+14.8%]  10x Genomics  ← 이평선수렴, RSI/MACD
$     4B    [+3.9%]  Glacier Bancorp  ← 이평선수렴, RSI/MACD
$     4B    [+1.1%]  Silicon Labs(52주)  ← 52주신고가, 5일선라이딩
$     4B    [+0.7%]  Insperity  ← 이평선수렴, RSI/MACD
$     4B    [+1.0%]  Kilroy Realty  ← 5일선라이딩, 이평선수렴
$     4B    [+6.0%]  UMB Financial(52주)  ← 52주신고가, 이평선수렴
$     4B    [-0.6%]  Box  ← 이평선수렴, RSI/MACD
$     4B    [+7.6%]  Ormat Technologies(52주)  ← 52주신고가, 이평선수렴
$     4B    [+5.1%]  Apple Hospitality REIT  ← 5일선라이딩, 이평선수렴
$     4B    [+3.1%]  Hancock Whitney  ← 이평선수렴, RSI/MACD
$     4B    [+2.3%]  Independence Realty Trust  ← 이평선수렴, RSI/MACD
$     4B    [+3.7%]  Columbia Banking System  ← 이평선수렴, RSI/MACD
$     4B    [-2.7%]  PJT Partners  ← 이평선수렴, RSI/MACD
$     4B    [+7.9%]  RLJ Lodging Trust  ← 5일선라이딩, 이평선수렴
$     4B    [+8.3%]  Urban Outfitters  ← 이평선수렴, RSI/MACD
$     4B    [+8.2%]  Park Hotels &amp; Resorts  ← 이평선수렴, RSI/MACD
$     4B    [-0.6%]  Atlas Energy Solutions  ← 5일선라이딩, 이평선수렴
$     4B    [+1.7%]  Teradata  ← 이평선수렴, RSI/MACD
$     4B   [+41.8%]  Credo Technology(52주)  ← 52주신고가, 이평선수렴
$     3B    [+0.0%]  Tri Pointe Homes(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+3.6%]  Moelis &amp; Company  ← 이평선수렴, RSI/MACD
$     3B    [-0.9%]  Cohen &amp; Steers  ← 5일선라이딩, 이평선수렴
$     3B    [+1.8%]  Cousins Properties  ← 5일선라이딩, 이평선수렴
$     3B    [+2.7%]  SL Green Realty  ← 이평선수렴, RSI/MACD
$     3B    [+4.2%]  Progyny  ← 5일선라이딩, 이평선수렴
$     3B    [+8.7%]  Warrior Met Coal  ← 이평선수렴, RSI/MACD
$     3B    [+1.2%]  International Bancshares Corp  ← 컵위드핸들, RSI/MACD
$     3B   [+11.3%]  Joby Aviation  ← 이평선수렴, RSI/MACD
$     3B    [+8.4%]  YETI Holdings  ← 이평선수렴, RSI/MACD
$     3B    [+3.7%]  Korn Ferry  ← 이평선수렴, RSI/MACD
$     3B    [+1.1%]  CareTrust REIT(52주)  ← 52주신고가, 5일선라이딩
$     3B    [-0.1%]  Graham Holdings  ← 이평선수렴, RSI/MACD
$     3B    [-0.6%]  Sabra Health Care REIT(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+0.2%]  Amicus Therapeutics(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+2.5%]  Ameris Bancorp(52주)  ← 52주신고가, RSI/MACD
$     3B    [+0.1%]  Arcellx(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+1.4%]  EPR Properties  ← 5일선라이딩, 이평선수렴
$     3B    [+3.7%]  Innospec  ← 5일선라이딩, 이평선수렴
$     3B    [+0.1%]  DigitalBridge Group  ← 5일선라이딩, 이평선수렴
$     3B   [+36.3%]  Vishay Intertechnology(역사적)  ← 52주신고가, 5일선라이딩
$     3B    [+5.4%]  CLEAR Secure(52주)  ← 52주신고가, 5일선라이딩
$     3B   [+15.1%]  QuantumScape  ← 이평선수렴, RSI/MACD
$     3B    [+4.0%]  Brady  ← 이평선수렴, RSI/MACD
$     3B    [+0.9%]  Victory Capital(52주)  ← 52주신고가, 5일선라이딩
$     3B    [-1.7%]  CNO Financial Group(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+0.1%]  Global Business Travel Group  ← 5일선라이딩, 이평선수렴
$     3B    [+2.9%]  First Hawaiian Bank  ← 이평선수렴, RSI/MACD
$     3B    [+2.5%]  LXP Industrial Trust  ← 이평선수렴, RSI/MACD
$     3B    [+1.8%]  COPT Defense Properties  ← 컵위드핸들, 이평선수렴
$     3B    [+2.1%]  Highwoods Properties  ← 5일선라이딩, 이평선수렴
$     3B    [-2.7%]  Genworth Financial  ← 5일선라이딩, 이평선수렴
$     3B   [+12.1%]  Hub Group  ← 이평선수렴, RSI/MACD
$     3B    [+3.5%]  WSFS Financial(52주)  ← 52주신고가, RSI/MACD
$     3B    [+5.1%]  First Interstate BancSystem  ← 이평선수렴, RSI/MACD
$     3B    [+2.3%]  Globalstar(52주)  ← 52주신고가, 5일선라이딩
$     2B    [+9.5%]  Corcept Therapeutics  ← 5일선라이딩, 이평선수렴
$     2B    [+2.6%]  PriceSmart(52주)  ← 52주신고가, RSI/MACD
$     2B    [+4.5%]  CVB Financial  ← 이평선수렴, RSI/MACD
$     2B    [+1.6%]  Laureate Education  ← 이평선수렴, RSI/MACD
$     2B   [+25.3%]  Guardant Health(52주)  ← 52주신고가, 이평선수렴
$     2B   [+10.0%]  Sonos  ← 이평선수렴, RSI/MACD
$     2B    [+0.0%]  Mister Car Wash  ← 5일선라이딩, 이평선수렴
$     2B    [+5.4%]  ePlus  ← 이평선수렴, RSI/MACD
$     2B    [+3.0%]  Independent Bank Corp (Massachusetts)  ← 이평선수렴, RSI/MACD
$     2B    [+4.2%]  First Financial Bank(52주)  ← 52주신고가, RSI/MACD
$     2B    [+6.2%]  Acadia Realty Trust  ← 이평선수렴, RSI/MACD
$     2B    [+9.2%]  Rocket Lab(52주)  ← 52주신고가, 이평선수렴
$     2B    [+9.7%]  Triumph Financial  ← 이평선수렴, RSI/MACD
$     2B   [+36.7%]  ACM Research(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+8.3%]  The Cheesecake Factory  ← 이평선수렴, RSI/MACD
$     2B    [+6.3%]  Mercury Systems  ← 이평선수렴, RSI/MACD
$     2B    [+2.0%]  PC Connection  ← 이평선수렴, RSI/MACD
$     2B    [-1.1%]  Stewart Information Services  ← 이평선수렴, RSI/MACD
$     2B    [+2.5%]  NexPoint Residential  ← 이평선수렴, RSI/MACD
$     2B   [+11.3%]  Gentherm  ← 이평선수렴, RSI/MACD
$     2B    [+4.5%]  WesBanco  ← 이평선수렴, RSI/MACD
$     2B    [+4.1%]  Renasant Corp(52주)  ← 52주신고가, RSI/MACD
$     2B    [+2.0%]  Trustmark(52주)  ← 52주신고가, RSI/MACD
$     2B    [+4.0%]  NBT Bancorp  ← 이평선수렴, RSI/MACD
$     2B    [+6.2%]  Customers Bancorp  ← 이평선수렴, RSI/MACD
$     2B   [+21.8%]  Century Aluminum(52주)  ← 52주신고가, RSI/MACD
$     2B    [+6.5%]  Veracyte  ← 이평선수렴, RSI/MACD
$     2B    [+0.8%]  World Kinect  ← 5일선라이딩, 이평선수렴
$     2B    [+2.0%]  Banner Bank  ← 이평선수렴, RSI/MACD
$     2B   [+14.7%]  Frontier Airlines  ← 이평선수렴, RSI/MACD
$     1B    [+8.3%]  Cannae Holdings  ← 이평선수렴, RSI/MACD
$     1B    [+1.7%]  City Holding Company  ← 컵위드핸들, 이평선수렴
$     1B    [+7.9%]  La-Z-Boy  ← 이평선수렴, RSI/MACD
$     1B    [+3.3%]  Enterprise Financial Services Corp(52주)  ← 52주신고가, RSI/MACD
$     1B    [+0.4%]  CSG International(52주)  ← 52주신고가, 5일선라이딩
$     1B   [+10.7%]  Knowles(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+3.6%]  Horace Mann Educators(52주)  ← 52주신고가, 컵위드핸들
$     1B    [+8.2%]  NETSCOUT(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+2.9%]  First Commonwealth Financial Corp  ← 컵위드핸들, RSI/MACD
$     1B    [+2.6%]  Stock Yards Bancorp  ← 이평선수렴, RSI/MACD
$     1B    [+5.2%]  First Busey  ← 컵위드핸들, RSI/MACD
$     1B    [+2.0%]  Omnicell  ← 5일선라이딩, 이평선수렴
$     1B   [+27.3%]  Caleres  ← 이평선수렴, RSI/MACD
$     1B    [+0.9%]  Two Harbors Investment  ← 이평선수렴, RSI/MACD
$     1B   [+22.3%]  Enovix  ← 이평선수렴, RSI/MACD
$     1B    [+0.2%]  Universal Corporation  ← 이평선수렴, RSI/MACD
$     1B    [+0.2%]  Central Securities(52주)  ← 52주신고가, 이평선수렴
$     1B    [+9.4%]  Digi International(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+2.4%]  S&amp;T Bancorp(52주)  ← 52주신고가, 컵위드핸들
$     1B   [+14.5%]  Ameresco  ← 이평선수렴, RSI/MACD
$     1B    [+3.4%]  TriCo Bancshares  ← 이평선수렴, RSI/MACD
$     1B    [+1.2%]  Employers Holdings  ← 이평선수렴, RSI/MACD
$     1B    [+7.5%]  Benchmark Electronics(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+5.5%]  Liquidia Technologies  ← 이평선수렴, RSI/MACD
$     1B    [+8.7%]  Scholar Rock Holding(52주)  ← 52주신고가, RSI/MACD
$     1B   [+11.2%]  Thermon Group(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+0.0%]  Golden Entertainment  ← 5일선라이딩, 이평선수렴
$     1B    [+3.6%]  Peoples Bancorp  ← 컵위드핸들, RSI/MACD
$     1B    [+2.0%]  Ellington Financial  ← 5일선라이딩, 이평선수렴
$     1B    [+3.1%]  German American Bancorp  ← 컵위드핸들, 이평선수렴
$     1B    [+4.2%]  QCR Holdings  ← 이평선수렴, RSI/MACD
$     1B    [+6.1%]  Black Rifle Coffee (BRC)  ← 5일선라이딩, 이평선수렴
$     1B    [+2.9%]  Interface  ← 이평선수렴, RSI/MACD
$     1B    [+3.2%]  Byline Bancorp(52주)  ← 52주신고가, RSI/MACD
$     1B   [+14.5%]  SunCoke Energy  ← 이평선수렴, RSI/MACD
$     1B    [+8.0%]  Hudson Pacific Properties  ← 5일선라이딩, 이평선수렴
$     1B    [+4.1%]  Origin Bancorp(52주)  ← 52주신고가, RSI/MACD
$     1B    [+3.1%]  OceanFirst Financial  ← 이평선수렴, RSI/MACD
$     1B    [+0.2%]  CrossAmerica Partners  ← 이평선수렴, RSI/MACD
$     1B    [+5.3%]  Xometry(52주)  ← 52주신고가, 이평선수렴

==================================================
개별 종목 상세
==================================================

──────────────────────────────────────────────────
✅ 삼성전자(+6.41%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 1748.0조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성전자 [초호황 속 조정 구간 = 매수 타이밍]
  26.05.21 / 목표가: 
  신한투자증권
삼성전자 [내부는 태풍, 외부는 폭풍]
  26.05.21 / 목표가: 
  미래에셋증권
삼성전자 [중장기 사업 가시성 확보]
  26.05.11 / 목표가: 
  미래에셋증권

📎 https://finance.naver.com/item/main.naver?code=005930

──────────────────────────────────────────────────
✅ SK하이닉스(+11.52%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 1462.5조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
SK하이닉스 [주도주는 원래 비싼 겁니다]
  26.05.21 / 목표가: 
  신한투자증권
SK하이닉스 [NAND 모멘텀 추가 반영]
  26.05.18 / 목표가: 
  미래에셋증권
SK하이닉스 [AI 데이터센터 수주 급증 수혜]
  26.05.11 / 목표가: 
  미래에셋증권

📎 https://finance.naver.com/item/main.naver?code=000660

──────────────────────────────────────────────────
✅ HD현대중공업(+21.14%)

❗ 52주신고가 | 이평선수렴
📌 52주신고가

시가총액 : 78.2조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
HD현대중공업 [[1Q26 Review] 견조한 상선에 더해지는 DC 엔..]
  26.05.08 / 목표가: 
  한화투자증권
HD현대중공업 [본업도 잘하는데 새로운 기회까지 선점]
  26.05.08 / 목표가: 
  DS투자증권
HD현대중공업 [일회성 요인 없이 실적 서프라이즈]
  26.05.08 / 목표가: 
  하나증권

📎 https://finance.naver.com/item/main.naver?code=329180

──────────────────────────────────────────────────
✅ SK(+23.77%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 47.6조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
SK [지분가치는 상승, 할인율은 축소]
  26.05.19 / 목표가: 
  SK증권
SK [반도체 슈퍼사이클에 따른 수혜]
  26.05.18 / 목표가: 
  하나증권
SK [1Q26 Review : 하이닉스와 연결된 현금흐름과..]
  26.05.18 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=034730

──────────────────────────────────────────────────
✅ 삼성화재(+4.87%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 25.9조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성화재 [1Q26 Review: 견조한 이익 지속 전망, 업종내..]
  26.05.18 / 목표가: 
  교보증권
삼성화재 [나도 삼성전자 주식 있어]
  26.05.15 / 목표가: 
  신한투자증권
삼성화재 [고르게 양호한 실적, ROE 개선은 과제]
  26.05.15 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=000810

──────────────────────────────────────────────────
✅ LG이노텍(+40.53%)

❗ 52주신고가 | 5일선라이딩
📌 역사적신고가

시가총액 : 25.3조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
LG이노텍 [전 사업부의 우상향 방향성]
  26.05.26 / 목표가: 
  하나증권
LG이노텍 [기판으로 그린 미래의 청사진]
  26.05.18 / 목표가: 
  유안타증권
LG이노텍 [FCBGA 낙수효과, SiP 쇼티지: 27년 추정치 상..]
  26.05.13 / 목표가: 
  SK증권

📎 https://finance.naver.com/item/main.naver?code=011070

──────────────────────────────────────────────────
✅ 삼성에스디에스(+11.57%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 15.6조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

