📌 주봉 신호 종목 현황 (2026-05-27 기준)
시총 높은 순 | 총 273개 종목

🇰🇷 한국 (14개)
       시총  [주간%]  종목명
$    19B   [+16.8%]  Williams-Sonoma  ← 이평선수렴, RSI/MACD
$    18B    [+4.2%]  Regions Financial  ← 이평선수렴, RSI/MACD
$    17B    [+2.8%]  Northern Trust(52주)  ← 52주신고가, 5일선라이딩
$    17B    [+2.9%]  Expeditors  ← 이평선수렴, RSI/MACD
$    16B    [+8.3%]  Okta  ← 5일선라이딩, 이평선수렴
$    16B   [+18.2%]  Skyworks Solutions  ← 5일선라이딩, 이평선수렴
$    16B   [+35.2%]  Enphase Energy  ← 이평선수렴, RSI/MACD
$    16B    [+1.9%]  Essex Property Trust  ← 5일선라이딩, 이평선수렴
$    15B    [+5.8%]  Hyatt Hotels(52주)  ← 52주신고가, 이평선수렴
$    15B    [-2.2%]  Nutanix  ← 5일선라이딩, 이평선수렴
$    15B    [+0.8%]  AMH (American Homes 4 Rent)  ← 이평선수렴, RSI/MACD
$    14B    [+5.4%]  Host Hotels & Resorts(52주)  ← 52주신고가, 5일선라이딩
$    14B    [-1.6%]  Fox Corporation  ← 이평선수렴, RSI/MACD
$    14B   [+14.3%]  United Airlines Holdings  ← 이평선수렴, RSI/MACD
$    13B    [-1.0%]  Franklin Resources  ← 5일선라이딩, 이평선수렴
$    13B    [+2.0%]  Gen Digital  ← 이평선수렴, RSI/MACD
$    13B    [+1.9%]  UDR Apartments  ← 5일선라이딩, 이평선수렴
$    12B    [+1.8%]  Plains All American Pipeline(52주)  ← 52주신고가, 5일선라이딩
$    12B    [+2.4%]  Alliant Energy(52주)  ← 52주신고가, RSI/MACD
$    12B    [-1.3%]  Reinsurance Group of America  ← 5일선라이딩, 컵위드핸들
$    12B   [+10.0%]  Bruker  ← 이평선수렴, RSI/MACD
$    11B    [+1.3%]  Ally  ← 이평선수렴, RSI/MACD
$    11B   [+14.6%]  Qorvo  ← 5일선라이딩, 이평선수렴
$    10B    [+3.3%]  Camden Property Trust  ← 이평선수렴, RSI/MACD
$    10B   [+10.5%]  Cleveland-Cliffs  ← 이평선수렴, RSI/MACD
$    10B   [+17.2%]  Ralph Lauren(52주)  ← 52주신고가, 이평선수렴
$    10B    [+2.6%]  Texas Roadhouse  ← 이평선수렴, RSI/MACD
$    10B    [+1.8%]  Unum(52주)  ← 52주신고가, 5일선라이딩
$    10B    [+1.2%]  Boston Properties  ← 이평선수렴, RSI/MACD
$     9B    [-1.0%]  Assurant(52주)  ← 52주신고가, 5일선라이딩
$     9B    [-1.4%]  SEI Investments  ← 5일선라이딩, 이평선수렴
$     9B    [+0.1%]  Jefferies Financial Group  ← 5일선라이딩, 이평선수렴
$     9B   [+20.1%]  American Airlines  ← 이평선수렴, RSI/MACD
$     8B    [-2.7%]  Hess Midstream  ← 컵위드핸들, 이평선수렴
$     8B    [+4.2%]  Simpson Manufacturing Company  ← 이평선수렴, RSI/MACD
$     8B    [+0.5%]  Omega Healthcare(52주)  ← 52주신고가, 5일선라이딩
$     8B    [+3.0%]  Robert Half  ← 이평선수렴, RSI/MACD
$     7B    [+2.1%]  Applied Industrial Technologies(52주)  ← 52주신고가, 5일선라이딩
$     7B    [+4.0%]  Evercore  ← 이평선수렴, RSI/MACD
$     7B    [+0.9%]  Voya Financial(52주)  ← 52주신고가, 5일선라이딩
$     7B    [+1.0%]  Invesco  ← 5일선라이딩, 이평선수렴
$     7B    [+0.1%]  Credit Acceptance  ← 5일선라이딩, 이평선수렴
$     7B    [+6.2%]  SentinelOne  ← 5일선라이딩, 이평선수렴
$     7B    [+7.9%]  Arrow Electronics(52주)  ← 52주신고가, 5일선라이딩
$     6B    [+0.3%]  Chart Industries  ← 이평선수렴, RSI/MACD
$     6B    [+0.8%]  H&amp;R Block  ← 이평선수렴, RSI/MACD
$     6B    [+4.9%]  Commercial Metals Company  ← 이평선수렴, RSI/MACD
$     6B    [+0.0%]  Apellis Pharmaceuticals  ← 5일선라이딩, 이평선수렴
$     6B    [+0.2%]  Selective Insurance  ← 이평선수렴, RSI/MACD
$     6B    [+0.9%]  DT Midstream(52주)  ← 52주신고가, 5일선라이딩
$     6B    [+4.5%]  Zions Bancorporation  ← 이평선수렴, RSI/MACD
$     6B    [+3.6%]  Banco Popular(52주)  ← 52주신고가, RSI/MACD
$     6B    [+2.9%]  FirstCash(52주)  ← 52주신고가, 5일선라이딩
$     6B   [+11.0%]  Insight Enterprises  ← 이평선수렴, RSI/MACD
$     6B    [+7.0%]  Revolution Medicines(52주)  ← 52주신고가, 5일선라이딩
$     6B    [-1.2%]  First American  ← 이평선수렴, RSI/MACD
$     6B    [+1.9%]  Mueller Industries(52주)  ← 52주신고가, 이평선수렴
$     6B    [+2.2%]  Prosperity Bancshares  ← 이평선수렴, RSI/MACD
$     6B    [+3.4%]  Vornado Realty Trust  ← 5일선라이딩, 이평선수렴
$     6B    [+9.1%]  NewMarket Corp  ← 이평선수렴, RSI/MACD
$     5B    [+0.4%]  Air Lease Corporation(52주)  ← 52주신고가, 이평선수렴
$     5B    [+3.9%]  Affiliated Managers Group  ← 이평선수렴, RSI/MACD
$     5B   [+16.4%]  Macy's  ← 이평선수렴, RSI/MACD
$     5B    [+3.9%]  MSC Industrial Direct(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+7.2%]  Polaris  ← 이평선수렴, RSI/MACD
$     5B    [+2.1%]  Halozyme Therapeutics  ← 이평선수렴, RSI/MACD
$     5B    [+7.8%]  Varonis  ← 5일선라이딩, 이평선수렴
$     5B    [+1.9%]  Bank OZK  ← 컵위드핸들, 이평선수렴
$     5B    [+3.5%]  Franklin Electric  ← 컵위드핸들, 이평선수렴
$     5B    [-0.8%]  Hanover Insurance Group(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+7.2%]  Hilton Grand Vacations  ← 이평선수렴, RSI/MACD
$     4B   [+10.6%]  Clearway Energy  ← 컵위드핸들, RSI/MACD
$     4B    [+1.0%]  Herc Holdings  ← 이평선수렴, RSI/MACD
$     4B   [+11.0%]  Columbia Sportswear  ← 이평선수렴, RSI/MACD
$     4B    [+6.0%]  Valmont Industries(52주)  ← 52주신고가, 이평선수렴
$     4B    [+6.9%]  Avnet(52주)  ← 52주신고가, 5일선라이딩
$     4B    [+4.8%]  Nuvalent  ← 컵위드핸들, 이평선수렴
$     4B    [+8.4%]  Jfrog(52주)  ← 52주신고가, 이평선수렴
$     4B   [+14.8%]  10x Genomics  ← 이평선수렴, RSI/MACD
$     4B    [+3.5%]  Glacier Bancorp  ← 이평선수렴, RSI/MACD
$     4B    [+1.0%]  Silicon Labs(52주)  ← 52주신고가, 5일선라이딩
$     4B    [+0.6%]  Insperity  ← 이평선수렴, RSI/MACD
$     4B    [+1.0%]  Kilroy Realty  ← 5일선라이딩, 이평선수렴
$     4B    [+5.7%]  UMB Financial(52주)  ← 52주신고가, 이평선수렴
$     4B    [+0.5%]  Box  ← 이평선수렴, RSI/MACD
$     4B    [+8.1%]  Ormat Technologies(52주)  ← 52주신고가, 이평선수렴
$     4B    [+4.8%]  Apple Hospitality REIT  ← 5일선라이딩, 이평선수렴
$     4B    [+2.6%]  Hancock Whitney  ← 이평선수렴, RSI/MACD
$     4B    [+2.5%]  Independence Realty Trust  ← 이평선수렴, RSI/MACD
$     4B    [+3.1%]  Columbia Banking System  ← 이평선수렴, RSI/MACD
$     4B    [-2.3%]  PJT Partners  ← 이평선수렴, RSI/MACD
$     4B    [+7.6%]  RLJ Lodging Trust  ← 5일선라이딩, 이평선수렴
$     4B    [+7.7%]  Urban Outfitters  ← 이평선수렴, RSI/MACD
$     4B    [+8.0%]  Park Hotels &amp; Resorts  ← 이평선수렴, RSI/MACD
$     4B    [-1.1%]  Atlas Energy Solutions  ← 5일선라이딩, 이평선수렴
$     4B    [+2.3%]  Teradata  ← 이평선수렴, RSI/MACD
$     4B   [+41.0%]  Credo Technology(52주)  ← 52주신고가, 이평선수렴
$     3B    [+0.0%]  Tri Pointe Homes(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+3.5%]  Moelis &amp; Company  ← 이평선수렴, RSI/MACD
$     3B    [-1.0%]  Cohen &amp; Steers  ← 5일선라이딩, 이평선수렴
$     3B    [+1.8%]  Cousins Properties  ← 5일선라이딩, 이평선수렴
$     3B    [+2.4%]  SL Green Realty  ← 이평선수렴, RSI/MACD
$     3B    [+4.8%]  Progyny  ← 5일선라이딩, 이평선수렴
$     3B    [+8.4%]  Warrior Met Coal  ← 이평선수렴, RSI/MACD
$     3B    [+0.8%]  International Bancshares Corp  ← 컵위드핸들, 이평선수렴
$     3B   [+10.9%]  Joby Aviation  ← 이평선수렴, RSI/MACD
$     3B    [+8.5%]  YETI Holdings  ← 이평선수렴, RSI/MACD
$     3B    [+3.7%]  Korn Ferry  ← 이평선수렴, RSI/MACD
$     3B    [+0.9%]  CareTrust REIT(52주)  ← 52주신고가, 5일선라이딩
$     3B    [-0.3%]  Graham Holdings  ← 이평선수렴, RSI/MACD
$     3B    [-0.3%]  Sabra Health Care REIT(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+0.2%]  Amicus Therapeutics(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+2.3%]  Ameris Bancorp(52주)  ← 52주신고가, RSI/MACD
$     3B    [+0.1%]  Arcellx(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+1.5%]  EPR Properties  ← 5일선라이딩, 이평선수렴
$     3B    [+3.5%]  Innospec  ← 5일선라이딩, 이평선수렴
$     3B   [+36.2%]  Vishay Intertechnology(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+5.4%]  CLEAR Secure(52주)  ← 52주신고가, 5일선라이딩
$     3B   [+15.6%]  QuantumScape  ← 이평선수렴, RSI/MACD
$     3B    [+4.7%]  Brady  ← 이평선수렴, RSI/MACD
$     3B    [+0.8%]  Victory Capital(52주)  ← 52주신고가, 5일선라이딩
$     3B    [-1.7%]  CNO Financial Group(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+0.1%]  Global Business Travel Group  ← 5일선라이딩, 이평선수렴
$     3B   [+13.4%]  GoodRx  ← 이평선수렴, RSI/MACD
$     3B    [+1.9%]  COPT Defense Properties  ← 컵위드핸들, 이평선수렴
$     3B    [+2.0%]  Highwoods Properties  ← 5일선라이딩, 이평선수렴
$     3B    [-2.7%]  Genworth Financial  ← 5일선라이딩, 이평선수렴
$     3B   [+11.5%]  Hub Group  ← 이평선수렴, RSI/MACD
$     3B    [+3.2%]  WSFS Financial(52주)  ← 52주신고가, RSI/MACD
$     3B    [+4.7%]  First Interstate BancSystem  ← 이평선수렴, RSI/MACD
$     3B    [+2.3%]  Globalstar(52주)  ← 52주신고가, 5일선라이딩
$     2B    [+9.5%]  Corcept Therapeutics  ← 5일선라이딩, 이평선수렴
$     2B    [+2.8%]  PriceSmart(52주)  ← 52주신고가, RSI/MACD
$     2B    [+4.1%]  CVB Financial  ← 이평선수렴, RSI/MACD
$     2B    [+1.2%]  Laureate Education  ← 이평선수렴, RSI/MACD
$     2B   [+25.0%]  Guardant Health(52주)  ← 52주신고가, 이평선수렴
$     2B   [+10.6%]  Sonos  ← 이평선수렴, RSI/MACD
$     2B    [+0.0%]  Mister Car Wash  ← 5일선라이딩, 이평선수렴
$     2B    [+5.8%]  ePlus  ← 이평선수렴, RSI/MACD
$     2B    [+2.9%]  Independent Bank Corp (Massachusetts)  ← 이평선수렴, RSI/MACD
$     2B    [+4.0%]  First Financial Bank(52주)  ← 52주신고가, RSI/MACD
$     2B    [+5.8%]  Acadia Realty Trust  ← 이평선수렴, RSI/MACD
$     2B    [+8.9%]  Schrödinger  ← 이평선수렴, RSI/MACD
$     2B    [+9.5%]  Rocket Lab(52주)  ← 52주신고가, 이평선수렴
$     2B    [+9.3%]  Triumph Financial  ← 이평선수렴, RSI/MACD
$     2B   [+35.4%]  ACM Research(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+8.2%]  The Cheesecake Factory  ← 이평선수렴, RSI/MACD
$     2B    [+6.0%]  Mercury Systems  ← 이평선수렴, RSI/MACD
$     2B    [+1.9%]  PC Connection  ← 이평선수렴, RSI/MACD
$     2B    [-1.3%]  Stewart Information Services  ← 이평선수렴, RSI/MACD
$     2B    [+2.5%]  NexPoint Residential  ← 이평선수렴, RSI/MACD
$     2B   [+11.4%]  Gentherm  ← 이평선수렴, RSI/MACD
$     2B    [+4.3%]  WesBanco  ← 이평선수렴, RSI/MACD
$     2B    [+4.0%]  Renasant Corp(52주)  ← 52주신고가, RSI/MACD
$     2B    [+1.9%]  Trustmark(52주)  ← 52주신고가, RSI/MACD
$     2B    [+3.7%]  NBT Bancorp  ← 이평선수렴, RSI/MACD
$     2B    [+5.8%]  Customers Bancorp  ← 이평선수렴, RSI/MACD
$     2B   [+22.1%]  Century Aluminum(52주)  ← 52주신고가, RSI/MACD
$     2B    [+6.2%]  Veracyte  ← 이평선수렴, RSI/MACD
$     2B    [+0.9%]  World Kinect  ← 5일선라이딩, 이평선수렴
$     2B    [+1.7%]  Banner Bank  ← 이평선수렴, RSI/MACD
$     2B   [+14.1%]  Frontier Airlines  ← 이평선수렴, RSI/MACD
$     1B    [+9.3%]  Liberty Latin America  ← 이평선수렴, RSI/MACD
$     1B    [+8.7%]  Cannae Holdings  ← 이평선수렴, RSI/MACD
$     1B    [+1.7%]  City Holding Company  ← 컵위드핸들, 이평선수렴
$     1B    [+8.1%]  La-Z-Boy  ← 이평선수렴, RSI/MACD
$     1B    [+0.4%]  CSG International(52주)  ← 52주신고가, 5일선라이딩
$     1B   [+10.7%]  Knowles(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+8.5%]  NETSCOUT(52주)  ← 52주신고가, 5일선라이딩
