📌 주봉 신호 종목 현황 (2026-05-31 기준)
시총 높은 순 | 총 261개 종목

🇰🇷 한국 (18개)
       시총  [주간%]  종목명
$    19B    [+6.1%]  Williams-Sonoma  ← 이평선수렴, RSI/MACD
$    18B    [+1.0%]  Regions Financial  ← 이평선수렴, RSI/MACD
$    17B    [+0.5%]  Expeditors  ← 이평선수렴, RSI/MACD
$    16B    [+5.3%]  Southwest Airlines  ← 이평선수렴, RSI/MACD
$    16B   [+37.8%]  Okta  ← 5일선라이딩, 이평선수렴
$    16B    [-0.4%]  Essex Property Trust  ← 5일선라이딩, 이평선수렴
$    15B    [+3.3%]  Hyatt Hotels(52주)  ← 52주신고가, 이평선수렴
$    15B    [-0.1%]  AMH (American Homes 4 Rent)  ← 이평선수렴, RSI/MACD
$    14B    [+2.5%]  Host Hotels & Resorts(52주)  ← 52주신고가, 5일선라이딩
$    14B    [-0.4%]  Fox Corporation  ← 이평선수렴, RSI/MACD
$    14B   [+15.2%]  United Airlines Holdings  ← 이평선수렴, RSI/MACD
$    14B    [+1.8%]  Neurocrine Biosciences(52주)  ← 52주신고가, 이평선수렴
$    13B    [+0.5%]  Franklin Resources  ← 5일선라이딩, 이평선수렴
$    13B    [+3.8%]  Gen Digital  ← 이평선수렴, RSI/MACD
$    13B    [+9.6%]  Revvity  ← 이평선수렴, RSI/MACD
$    12B    [+1.3%]  Ares Capital  ← 이평선수렴, RSI/MACD
$    12B   [+13.1%]  Amerco  ← 이평선수렴, RSI/MACD
$    12B   [+30.9%]  Bruker  ← 이평선수렴, RSI/MACD
$    11B    [+9.7%]  Natera  ← 이평선수렴, RSI/MACD
$    11B    [+0.1%]  Ally  ← 이평선수렴, RSI/MACD
$    11B    [+6.0%]  Qorvo  ← 5일선라이딩, 이평선수렴
$    10B   [+27.1%]  Cleveland-Cliffs  ← 이평선수렴, RSI/MACD
$    10B    [+3.5%]  Penske Automotive  ← 이평선수렴, RSI/MACD
$    10B    [+1.4%]  Texas Roadhouse  ← 이평선수렴, RSI/MACD
$    10B   [+19.3%]  Unity Software  ← 이평선수렴, RSI/MACD
$    10B    [-1.5%]  Unum(52주)  ← 52주신고가, 5일선라이딩
$    10B    [-0.2%]  Boston Properties  ← 이평선수렴, RSI/MACD
$     9B    [-2.7%]  Assurant  ← 5일선라이딩, 이평선수렴
$     9B   [+15.2%]  Rivian  ← 이평선수렴, RSI/MACD
$     9B    [+0.5%]  Jefferies Financial Group  ← 5일선라이딩, 이평선수렴
$     9B    [+7.7%]  American Airlines  ← 이평선수렴, RSI/MACD
$     8B    [+3.2%]  Gentex  ← 이평선수렴, RSI/MACD
$     8B    [+2.7%]  Simpson Manufacturing Company  ← 이평선수렴, RSI/MACD
$     8B   [+13.0%]  BorgWarner(52주)  ← 52주신고가, 5일선라이딩
$     8B    [+8.3%]  Robert Half  ← 이평선수렴, RSI/MACD
$     7B    [-1.6%]  Evercore  ← 이평선수렴, RSI/MACD
$     7B    [+5.5%]  Invesco  ← 5일선라이딩, 이평선수렴
$     7B    [+4.7%]  Credit Acceptance  ← 5일선라이딩, 이평선수렴
$     7B    [+0.8%]  Arrow Electronics(52주)  ← 52주신고가, 5일선라이딩
$     6B    [-0.2%]  Chart Industries  ← 이평선수렴, RSI/MACD
$     6B    [+1.6%]  H&amp;R Block  ← 이평선수렴, RSI/MACD
$     6B    [+7.6%]  Commercial Metals Company  ← 이평선수렴, RSI/MACD
$     6B    [+8.3%]  SAIC  ← 이평선수렴, RSI/MACD
$     6B    [+0.0%]  Apellis Pharmaceuticals  ← 5일선라이딩, 이평선수렴
$     6B    [-4.6%]  Selective Insurance  ← 이평선수렴, RSI/MACD
$     6B    [+9.4%]  Red Rock Resorts  ← 이평선수렴, RSI/MACD
$     6B    [-0.6%]  Banco Popular(52주)  ← 52주신고가, RSI/MACD
$     6B   [+13.7%]  Insight Enterprises  ← 이평선수렴, RSI/MACD
$     6B    [+2.4%]  Revolution Medicines(52주)  ← 52주신고가, 5일선라이딩
$     6B    [+6.4%]  Brunswick Corporation  ← 이평선수렴, RSI/MACD
$     6B    [+6.7%]  Vornado Realty Trust  ← 5일선라이딩, 이평선수렴
$     6B    [+7.4%]  NewMarket Corp  ← 이평선수렴, RSI/MACD
$     6B    [+8.5%]  Dutch Bros  ← 이평선수렴, RSI/MACD
$     5B    [+9.5%]  Leonardo DRS(52주)  ← 52주신고가, RSI/MACD
$     5B    [+0.4%]  Air Lease Corporation(52주)  ← 52주신고가, 이평선수렴
$     5B    [+0.1%]  Affiliated Managers Group  ← 이평선수렴, RSI/MACD
$     5B    [+5.5%]  Macy's  ← 이평선수렴, RSI/MACD
$     5B    [+3.3%]  MSC Industrial Direct(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+6.5%]  Polaris  ← 이평선수렴, RSI/MACD
$     5B   [+11.4%]  Varonis  ← 5일선라이딩, 이평선수렴
$     5B    [+0.5%]  Bank OZK  ← 컵위드핸들, 이평선수렴
$     5B    [+6.2%]  Hilton Grand Vacations  ← 이평선수렴, RSI/MACD
$     5B    [+2.0%]  Kite Realty(52주)  ← 52주신고가, 컵위드핸들
$     4B    [+7.9%]  Clearway Energy(52주)  ← 52주신고가, 컵위드핸들
$     4B    [+7.8%]  Columbia Sportswear  ← 이평선수렴, RSI/MACD
$     4B    [+2.7%]  Valmont Industries(52주)  ← 52주신고가, 이평선수렴
$     4B    [+4.2%]  Avnet(52주)  ← 52주신고가, 5일선라이딩
$     4B    [+9.0%]  Nuvalent(52주)  ← 52주신고가, 이평선수렴
$     4B   [+11.3%]  Jfrog(역사적)  ← 52주신고가, 이평선수렴
$     4B   [+14.7%]  10x Genomics  ← 이평선수렴, RSI/MACD
$     4B    [-0.5%]  Glacier Bancorp  ← 이평선수렴, RSI/MACD
$     4B    [+0.1%]  Silicon Labs(52주)  ← 52주신고가, 5일선라이딩
$     4B   [+11.7%]  Insperity  ← 이평선수렴, RSI/MACD
$     4B    [+0.4%]  Kilroy Realty  ← 5일선라이딩, 이평선수렴
$     4B    [+6.4%]  Arcosa  ← 이평선수렴, RSI/MACD
$     4B    [+0.2%]  UMB Financial  ← 이평선수렴, RSI/MACD
$     4B    [+6.1%]  Box  ← 이평선수렴, RSI/MACD
$     4B    [+2.5%]  Ormat Technologies(52주)  ← 52주신고가, 이평선수렴
$     4B    [+1.2%]  Apple Hospitality REIT  ← 5일선라이딩, 이평선수렴
$     4B    [+2.2%]  Hancock Whitney  ← 이평선수렴, RSI/MACD
$     4B    [+0.1%]  Columbia Banking System  ← 이평선수렴, RSI/MACD
